,Day,Case_by_time,Death_by_time,recovered_by_time
0,01/01/2021,3,0,3
1,02/01/2021,3,0,3
2,03/01/2021,3,0,3
3,04/01/2021,3,0,3
4,05/01/2021,3,0,3
5,06/01/2021,3,0,3
6,07/01/2021,3,0,3
7,08/01/2021,3,0,3
8,09/01/2021,3,0,3
9,10/01/2021,3,0,3
10,11/01/2021,3,0,3
11,12/01/2021,3,0,3
12,13/01/2021,3,0,3
13,14/01/2021,3,0,3
14,15/01/2021,3,0,3
15,16/01/2021,3,0,3
16,17/01/2021,3,0,3
17,18/01/2021,3,0,3
18,19/01/2021,3,0,3
19,20/01/2021,3,0,3
20,21/01/2021,3,0,3
21,22/01/2021,3,0,3
22,23/01/2021,3,0,3
23,24/01/2021,3,0,3
24,25/01/2021,3,0,3
25,26/01/2021,3,0,3
26,27/01/2021,3,0,3
27,28/01/2021,3,0,3
28,29/01/2021,4,0,3
29,30/01/2021,4,0,3
30,31/01/2021,4,0,3
31,01/02/2021,4,0,3
32,02/02/2021,4,0,3
33,03/02/2021,4,0,3
34,04/02/2021,4,0,3
35,05/02/2021,4,0,3
36,06/02/2021,4,0,3
37,07/02/2021,4,0,3
38,08/02/2021,4,0,3
39,09/02/2021,4,0,3
40,10/02/2021,4,0,3
41,11/02/2021,4,0,3
42,12/02/2021,4,0,3
43,13/02/2021,4,0,3
44,14/02/2021,4,0,3
45,15/02/2021,4,0,3
46,16/02/2021,4,0,3
47,17/02/2021,4,0,3
48,18/02/2021,4,0,3
49,19/02/2021,4,0,3
50,20/02/2021,4,0,3
51,21/02/2021,4,0,3
52,22/02/2021,7,0,3
53,23/02/2021,7,0,3
54,24/02/2021,7,0,3
55,25/02/2021,7,0,3
56,26/02/2021,7,0,3
57,27/02/2021,7,0,3
58,28/02/2021,7,0,4
59,01/03/2021,7,0,4
60,02/03/2021,7,0,4
61,03/03/2021,7,0,4
62,04/03/2021,7,0,4
63,05/03/2021,7,0,4
64,06/03/2021,7,0,4
65,07/03/2021,7,0,4
66,08/03/2021,7,0,4
67,09/03/2021,7,0,4
68,10/03/2021,7,0,4
69,11/03/2021,7,0,4
70,12/03/2021,7,0,4
71,13/03/2021,7,0,4
72,14/03/2021,7,0,4
73,15/03/2021,7,0,4
74,16/03/2021,7,0,4
75,17/03/2021,7,0,4
76,18/03/2021,7,0,4
77,19/03/2021,7,0,4
78,20/03/2021,7,0,4
79,21/03/2021,7,0,4
80,22/03/2021,7,0,4
81,23/03/2021,7,0,4
82,24/03/2021,7,0,4
83,25/03/2021,7,0,4
84,26/03/2021,9,0,4
85,27/03/2021,9,0,4
86,28/03/2021,9,0,4
87,29/03/2021,9,0,4
88,30/03/2021,9,0,4
89,31/03/2021,9,0,4
90,01/04/2021,9,0,4
91,02/04/2021,9,0,4
92,03/04/2021,9,0,4
93,04/04/2021,9,0,4
94,05/04/2021,9,0,4
95,06/04/2021,9,0,4
96,07/04/2021,9,0,4
97,08/04/2021,9,0,4
98,09/04/2021,9,0,4
99,10/04/2021,9,0,4
100,11/04/2021,9,0,4
101,12/04/2021,9,0,4
102,13/04/2021,9,0,4
103,14/04/2021,9,0,4
104,15/04/2021,9,0,4
105,16/04/2021,9,0,6
106,17/04/2021,9,0,6
107,18/04/2021,9,0,6
108,19/04/2021,9,0,6
109,20/04/2021,9,0,6
110,21/04/2021,9,0,6
111,22/04/2021,9,0,6
112,23/04/2021,9,0,6
113,24/04/2021,9,0,6
114,25/04/2021,9,0,6
115,26/04/2021,9,0,6
116,27/04/2021,9,0,6
117,28/04/2021,9,0,6
118,29/04/2021,9,0,6
119,30/04/2021,9,0,6
120,01/05/2021,9,0,6
121,02/05/2021,9,0,6
122,03/05/2021,9,0,7
123,04/05/2021,9,0,7
124,05/05/2021,9,0,7
125,06/05/2021,9,0,7
126,07/05/2021,9,0,7
127,08/05/2021,10,0,7
128,09/05/2021,10,0,7
129,10/05/2021,10,0,7
130,11/05/2021,10,0,7
131,12/05/2021,10,0,7
132,13/05/2021,10,0,7
133,14/05/2021,10,0,7
134,15/05/2021,10,0,7
135,16/05/2021,10,0,7
136,17/05/2021,10,0,7
137,18/05/2021,11,0,7
138,19/05/2021,11,0,7
139,20/05/2021,11,0,7
140,21/05/2021,11,0,7
141,22/05/2021,11,0,7
142,23/05/2021,11,0,7
143,24/05/2021,11,0,7
144,25/05/2021,11,0,7
145,26/05/2021,11,0,7
146,27/05/2021,11,0,7
147,28/05/2021,11,0,7
148,29/05/2021,11,0,7
149,30/05/2021,12,0,7
150,31/05/2021,12,0,7
151,01/06/2021,12,0,9
152,02/06/2021,12,0,9
153,03/06/2021,12,0,9
154,04/06/2021,12,0,9
155,05/06/2021,12,0,9
156,06/06/2021,12,0,9
157,07/06/2021,12,0,9
158,08/06/2021,12,0,9
159,09/06/2021,12,0,9
160,10/06/2021,12,0,9
161,11/06/2021,12,0,9
162,12/06/2021,12,0,12
163,13/06/2021,12,0,12
164,14/06/2021,12,0,12
165,15/06/2021,12,0,12
166,16/06/2021,12,0,12
167,17/06/2021,12,0,12
168,18/06/2021,12,0,12
169,19/06/2021,12,0,12
170,20/06/2021,12,0,12
171,21/06/2021,12,0,12
172,22/06/2021,12,0,12
173,23/06/2021,12,0,12
174,24/06/2021,12,0,12
175,25/06/2021,15,0,12
176,26/06/2021,17,0,12
177,27/06/2021,17,0,12
178,28/06/2021,18,0,12
179,29/06/2021,20,0,12
180,30/06/2021,21,0,12
181,01/07/2021,21,0,12
182,02/07/2021,22,0,12
183,03/07/2021,22,0,12
184,04/07/2021,22,0,12
185,05/07/2021,24,0,12
186,06/07/2021,24,0,12
187,07/07/2021,24,0,12
188,08/07/2021,24,0,12
189,09/07/2021,24,0,12
190,10/07/2021,24,0,12
191,11/07/2021,24,0,12
192,12/07/2021,24,0,12
193,13/07/2021,25,0,12
194,14/07/2021,25,0,12
195,15/07/2021,25,0,12
196,16/07/2021,26,0,12
197,17/07/2021,26,0,12
198,18/07/2021,27,0,12
199,19/07/2021,27,0,12
200,20/07/2021,33,0,12
201,21/07/2021,34,0,12
202,22/07/2021,34,0,12
203,23/07/2021,37,0,12
204,24/07/2021,37,0,12
205,25/07/2021,37,0,12
206,26/07/2021,37,0,12
207,27/07/2021,37,0,12
208,28/07/2021,37,0,12
209,29/07/2021,37,0,12
210,30/07/2021,37,0,12
211,31/07/2021,38,0,12
212,01/08/2021,38,0,12
213,02/08/2021,38,0,12
214,03/08/2021,38,0,12
215,04/08/2021,38,0,12
216,05/08/2021,38,0,12
217,06/08/2021,38,0,12
218,07/08/2021,38,0,12
219,08/08/2021,38,0,12
220,09/08/2021,38,0,12
221,10/08/2021,38,0,12
222,11/08/2021,38,0,12
223,12/08/2021,38,0,12
224,13/08/2021,38,0,12
225,14/08/2021,38,0,12
226,15/08/2021,38,0,12
227,16/08/2021,38,0,12
228,17/08/2021,38,0,12
229,18/08/2021,38,0,12
230,19/08/2021,48,0,12
231,20/08/2021,53,0,12
232,21/08/2021,53,0,12
233,22/08/2021,53,0,12
234,23/08/2021,53,0,12
235,24/08/2021,57,0,12
236,25/08/2021,57,0,12
237,26/08/2021,57,0,12
238,27/08/2021,59,0,12
239,28/08/2021,59,0,12
240,29/08/2021,59,0,12
241,30/08/2021,59,0,12
242,31/08/2021,59,0,12
243,01/09/2021,59,0,12
244,02/09/2021,59,0,12
245,03/09/2021,59,0,12
246,04/09/2021,59,0,12
247,05/09/2021,59,0,12
248,06/09/2021,63,0,12
249,07/09/2021,63,0,12
250,08/09/2021,63,0,12
251,09/09/2021,63,0,12
252,10/09/2021,63,0,12
253,11/09/2021,63,0,12
254,12/09/2021,63,0,12
255,13/09/2021,63,0,12
256,14/09/2021,63,0,12
257,15/09/2021,63,0,12
258,16/09/2021,63,0,12
259,17/09/2021,63,0,12
260,18/09/2021,63,0,12
261,19/09/2021,63,0,12
262,20/09/2021,63,0,12
263,21/09/2021,63,0,12
264,22/09/2021,63,0,12
265,23/09/2021,63,0,12
266,24/09/2021,63,0,12
267,25/09/2021,63,0,12
268,26/09/2021,63,0,12
269,27/09/2021,63,0,12
270,28/09/2021,63,0,12
271,29/09/2021,63,0,12
272,30/09/2021,63,0,12
273,01/10/2021,63,0,12
274,02/10/2021,63,0,12
275,03/10/2021,63,0,12
276,04/10/2021,63,0,12
277,05/10/2021,63,0,12
278,06/10/2021,63,0,12
279,07/10/2021,63,0,12
280,08/10/2021,63,0,12
281,09/10/2021,63,0,12
282,10/10/2021,63,0,12
283,11/10/2021,63,0,12
284,12/10/2021,65,0,12
285,13/10/2021,65,0,12
286,14/10/2021,66,0,12
287,15/10/2021,66,0,12
288,16/10/2021,66,0,12
289,17/10/2021,66,0,12
290,18/10/2021,66,0,12
291,19/10/2021,66,0,12
292,20/10/2021,66,0,12
293,21/10/2021,68,0,12
294,22/10/2021,68,0,12
295,23/10/2021,70,0,12
296,24/10/2021,70,0,12
297,25/10/2021,70,0,12
298,26/10/2021,70,0,12
299,27/10/2021,71,0,12
300,28/10/2021,71,0,12
301,29/10/2021,73,0,12
302,30/10/2021,76,0,12
303,31/10/2021,78,0,12
304,01/11/2021,78,0,12
305,02/11/2021,82,0,12
306,03/11/2021,88,0,12
307,04/11/2021,90,0,12
308,05/11/2021,93,0,12
309,06/11/2021,103,0,12
310,07/11/2021,104,0,12
311,08/11/2021,120,0,12
312,09/11/2021,124,0,12
313,10/11/2021,125,0,12
314,11/11/2021,125,0,0
315,12/11/2021,141,0,0
316,13/11/2021,152,0,0
317,14/11/2021,152,0,0
318,15/11/2021,157,0,0
319,16/11/2021,157,0,0
320,17/11/2021,164,0,0
321,18/11/2021,169,0,0
322,19/11/2021,170,0,0
323,20/11/2021,184,0,0
324,21/11/2021,186,0,0
325,22/11/2021,191,0,0
326,23/11/2021,193,0,0
327,24/11/2021,229,0,0
328,25/11/2021,231,0,0
329,26/11/2021,235,0,0
330,27/11/2021,257,0,0
331,28/11/2021,385,0,0
332,29/11/2021,441,0,0
333,30/11/2021,595,0,0
334,01/12/2021,736,0,0
335,02/12/2021,773,0,0
336,03/12/2021,971,0,0
337,04/12/2021,1052,0,0
338,05/12/2021,1143,0,0
339,06/12/2021,1143,0,0
340,07/12/2021,1454,0,0
341,08/12/2021,1719,1,0
342,09/12/2021,1777,2,0
343,10/12/2021,1957,2,0
344,11/12/2021,2169,2,0
345,12/12/2021,2292,2,0
346,13/12/2021,2475,3,0
347,14/12/2021,2859,3,0
348,15/12/2021,2975,6,0
349,16/12/2021,3306,6,0
350,17/12/2021,3306,6,0
351,18/12/2021,3514,6,0
352,19/12/2021,3931,6,0
353,20/12/2021,4026,6,0
354,21/12/2021,4261,6,0
355,22/12/2021,4710,6,0
356,23/12/2021,4962,6,0
357,24/12/2021,4981,7,0
358,25/12/2021,5406,7,0
359,26/12/2021,5673,7,0
360,27/12/2021,6604,7,0
361,28/12/2021,7201,8,0
362,29/12/2021,7473,8,0
363,30/12/2021,8311,9,0
364,31/12/2021,8831,9,0
365,01/01/2022,8947,9,0
366,02/01/2022,10751,9,0
367,03/01/2022,12500,9,0
368,04/01/2022,13102,9,0
369,05/01/2022,13894,9,0
370,06/01/2022,14817,10,0
371,07/01/2022,15612,10,0
372,08/01/2022,16360,10,0
373,09/01/2022,17197,10,0
374,10/01/2022,17789,12,0
375,11/01/2022,18303,12,0
376,12/01/2022,18828,14,0
377,13/01/2022,19325,15,0
378,14/01/2022,19832,17,0
379,15/01/2022,20646,17,0
380,16/01/2022,20646,17,0
381,17/01/2022,21284,19,0
382,18/01/2022,22423,19,0
383,19/01/2022,22423,21,0
384,20/01/2022,23145,21,0
385,21/01/2022,23941,27,0
386,22/01/2022,24686,27,0
387,23/01/2022,25450,32,0
388,24/01/2022,26183,32,0
389,25/01/2022,26887,39,0
390,26/01/2022,27591,39,0
391,27/01/2022,28310,43,0
392,28/01/2022,28945,43,0
393,29/01/2022,29609,47,0
394,30/01/2022,30256,52,0
395,31/01/2022,30808,56,0
396,01/02/2022,31304,56,0
397,02/02/2022,31587,56,0
398,03/02/2022,31741,60,0
399,04/02/2022,32022,65,0
400,05/02/2022,32384,65,0
401,06/02/2022,32907,66,0
402,07/02/2022,33540,70,0
403,08/02/2022,34370,75,0
404,09/02/2022,35665,80,0
405,10/02/2022,37031,80,0
406,11/02/2022,38429,82,0
407,12/02/2022,39823,85,0
408,13/02/2022,41306,91,0
409,14/02/2022,42795,91,0
410,15/02/2022,44212,92,0
411,16/02/2022,45699,92,0
412,17/02/2022,47247,94,0
413,18/02/2022,48751,96,0
414,19/02/2022,50306,99,0
415,20/02/2022,52004,102,0
416,21/02/2022,53711,104,0
417,22/02/2022,55509,106,0
418,23/02/2022,57325,109,0
419,24/02/2022,59125,111,0
420,25/02/2022,61044,114,0
421,26/02/2022,63069,118,0
422,27/02/2022,65183,118,0
423,28/02/2022,67399,120,0
424,01/03/2022,69708,120,0
425,02/03/2022,72218,123,0
426,03/03/2022,74799,124,0
427,04/03/2022,74905,124,0
428,05/03/2022,75503,124,0
429,06/03/2022,80657,126,0
430,07/03/2022,81604,128,0
431,08/03/2022,85475,128,0
432,09/03/2022,88502,129,0
433,10/03/2022,92035,129,0
434,11/03/2022,95332,131,0
435,12/03/2022,98532,131,0
436,13/03/2022,100125,132,0
437,14/03/2022,102011,133,0
438,15/03/2022,104043,133,0
439,16/03/2022,104043,134,0
440,17/03/2022,106887,134,0
441,18/03/2022,108130,134,0
442,19/03/2022,108976,134,0
443,20/03/2022,109589,134,0
444,21/03/2022,110347,134,0
445,22/03/2022,111123,135,0
446,23/03/2022,112088,135,0
447,24/03/2022,112723,135,0
448,25/03/2022,113335,135,0
449,26/03/2022,113818,135,0
450,27/03/2022,113818,135,0
451,28/03/2022,114198,135,0
452,29/03/2022,114720,135,0
453,30/03/2022,115186,135,0
454,31/03/2022,115551,135,0
